id,firstname,lastname,email,birthdate
1,Kerry,O'Connell,Kerry16@gmail.com,1990-01-01
2,Ethel,Miller,Ethel14@hotmail.com,1985-05-12
3,Willie,Barton,Willie.Barton@gmail.com,1992-07-23
4,Ellis,Lowe,Ellis.Lowe@gmail.com,1988-11-30
5,Raymond,Miller,Raymond.Miller@gmail.com,1991-03-15
6,Ellen,Thompson,Ellen92@hotmail.com,1987-09-25
7,Joe,Rice,Joe55@gmail.com,1993-12-05
8,Nathaniel,Legros,Nathaniel40@hotmail.com,1986-04-18
9,Maxine,Schinner,Maxine93@hotmail.com,1990-08-22
10,Tim,Jacobson,Tim92@hotmail.com,1989-10-10
